Institute,Articles,Articles w/ IC,Total Citations,Parent Country Citations,ICR,NLIQ,cost,rho,Internationality(1>rho>0),Internationality(0.1>rho>0.001),Internationality(0.9>rho>0.101),Internationality(0.99>rho>0.9),Internationality(rho>1)
State University of New York (SUNY) Binghamton,13,2.0,120,28,0.5,0.7666666670000001,0.734595695251948,0.001528046318956644,0.734595695251948,0.7345926593510611,0.7351946678229753,0.7395122187576068,0.0
University of British Columbia,85,26.0,1642,147,0.37597756409999994,0.91047503,0.833436230743531,0.0009779849819464559,0.833436230743531,0.8334407806360009,0.8363231728434377,0.8551218939489664,0.0
University of Edinburgh,83,34.0,860,51,0.28075664699999997,0.940697674,0.8336289579387676,0.0012157973535691646,0.8336289579387676,0.833625312042218,0.8389565781139653,0.8716409944845654,0.0
University of Guelph,45,23.0,232,33,0.29820048309999997,0.8577586209999999,0.7717881970053475,0.0008580872291537034,0.7717881970053475,0.7717954822694019,0.7755739968212958,0.7994810300007796,0.0
University of Michigan,218,0.0,3916,1290,0.01,0.670582227,0.44039120000776977,9.200058643044073e-05,0.44039120000776977,0.4407186169289149,0.4732081781871386,0.59817997223489,0.0
University of Montreal,56,10.0,771,126,0.1831309524,0.836575875,0.7186810004394293,0.00011498464522952112,0.7186810004394293,0.7187484322051281,0.7259615070725312,0.7676028238021373,0.0
University of Ottawa,39,8.0,291,53,0.6775,0.817869416,0.802613824348947,0.00019412982061350892,0.802613824348947,0.802614866519588,0.8027425417948064,0.8037160080113039,0.0
University of Pennsylvania,222,0.0,8241,3017,0.01,0.633903652,0.41866687657348783,0.00014171006349039672,0.41866687657348783,0.4189586746499278,0.44908750570036043,0.5655378828951324,0.0
University of Salford,24,7.0,416,53,0.3088253158,0.872596154,0.7865726879958618,0.0016895680886470643,0.7865726879958618,0.7865468087412987,0.7902828095213241,0.8139137528331921,0.0
University of Southern California,173,0.0,6126,1906,0.01,0.688867124,0.45170405165372574,0.0015224197720999921,0.45170405165372574,0.45152039801326244,0.4851819112022201,0.6144418650204626,0.0
University of Southern Queensland,2,1.0,11,1,0.75,0.9090909090000001,0.8917699357687842,0.0001621020103472759,0.8917699357687842,0.8917711911819549,0.8919189765966263,0.8930470611701786,0.0
University of Tokyo,390,0.0,4303,1048,0.01,0.756448989,0.4908163586563269,4.7431672299591554e-05,0.4908163586563269,0.4912208487637225,0.5295142515587392,0.6745762330033503,0.0
University of Toronto,200,0.0,2002,301,0.01,0.84965035,0.5450554273092537,0.00032282456824594963,0.5450554273092537,0.5454586100238834,0.590220557240985,0.7575054599207108,0.0
University of Waterloo,91,31.0,1272,151,0.5167769061,0.8812893079999999,0.8354895637984621,0.0007307661387052633,0.8354895637984621,0.8354927559545359,0.8365500352038047,0.8440170420675293,0.0
Yale University,84,19.0,1581,501,0.521301468,0.683111954,0.6648958909555784,0.0014407836665176754,0.6648958909555784,0.6648950668940312,0.6651165457283171,0.6667402407561933,0.0
Yonsei University,41,5.0,250,66,0.24333333329999998,0.736,0.6588975863745884,0.00032263185985792475,0.6588975863745884,0.6589231339602123,0.662469503174745,0.6846094654283328,0.0
