Institute,Articles,Articles w/ IC,Total Citations,Parent Country Citations,ICR,NLIQ,cost,rho,Internationality
AGH University of Science & Technology,29,3.0,54,33,0.3061728395,0.388888889,0.3797974010013668,0.10116329907465482,0.3797974010013668
Al Azhar University,5,1.0,74,17,0.6666666667,0.77027027,0.7592953443038702,0.1010333225182507,0.7592953443038702
Al-Imam Muhammad Ibn Saud Islamic University,2,0.0,7,2,0.0,0.7142857140000001,0.2533176450488029,0.10163666741356892,0.2533176450488029
Alexandria University,5,2.0,46,3,0.5833333333,0.934782609,0.8926228453244777,0.10179675572058014,0.8926228453244777
Amity University,3,0.0,3,1,0.0,0.666666667,0.2350223346803267,0.10105461678162608,0.2350223346803267
Amrita Vishwa Vidyapeetham,4,0.0,10,1,0.0,0.9,0.31726863330431243,0.10105109814218693,0.31726863330431243
Ankara University,3,2.0,12,2,0.284375,0.833333333,0.7522204554715308,0.10111776606778444,0.7522204554715308
Aoyama Gakuin University,15,0.0,29,6,0.0,0.793103448,0.28072229606374866,0.10144594449321975,0.28072229606374866
Arizona State University,80,19.0,558,189,0.3870150286,0.661290323,0.6276019208260741,0.10102363046239471,0.6276019208260741
Auburn University,7,1.0,52,7,1.0,0.865384615,0.8780711650686157,0.10109821034629118,0.8780711650686157
Australian National University,56,20.0,1901,137,0.4929128597,0.927932667,0.8726112946395213,0.10131210404772473,0.8726112946395213
Babes Bolyai University from Cluj,7,2.0,28,5,0.3229166667,0.8214285709999999,0.7511160101128757,0.10144461686709205,0.7511160101128757
Benemerita Universidad Autonoma de Puebla,15,2.0,45,14,0.2708333333,0.688888889,0.6299363745629574,0.10189733683355806,0.6299363745629574
Birla Institute of Technology and Science Pilani (BITS Pilani),9,1.0,50,3,0.3333333333,0.94,0.851530298347221,0.10271029627830097,0.851530298347221
Colorado State University,25,4.0,134,29,0.4088541667,0.78358209,0.7356231048028078,0.10120998967217076,0.7356231048028078
Columbia University,72,13.0,1549,505,0.3941666667,0.673983215,0.6396057634961417,0.101064237332543,0.6396057634961417
Cornell University,121,0.0,3530,1378,0.0,0.609631728,0.2151300784905769,0.10115138511808108,0.2151300784905769
Ecole Polytechnique Federale de Lausanne,268,0.0,5320,475,0.0,0.910714286,0.32524644332507113,0.10232692755679651,0.32524644332507113
Indian Institute of Science (IISC) - Bangalore,39,7.0,449,68,0.8571428570999999,0.848552339,0.849407897093071,0.10180729288273471,0.849407897093071
Indian Institute of Technology (IIT BHU) - Varanasi,9,1.0,75,35,0.6666666667,0.533333333,0.5454933032318752,0.10182931278675256,0.5454933032318752
Indian Institute of Technology (IIT) - Bombay,11,0.0,230,20,0.0,0.913043478,0.3218200771627368,0.10103705154310139,0.3218200771627368
Indian Institute of Technology (IIT) - Delhi,25,6.0,210,36,0.3030555556,0.828571429,0.7526830339731646,0.10203985368914048,0.7526830339731646
Indian Institute of Technology (IIT) - Kharagpur,32,8.0,262,49,0.4633333333,0.812977099,0.7696205932637102,0.10136939370825582,0.7696205932637102
Indian Institute of Technology (IIT) - Madras,37,7.0,329,53,0.5571428571,0.838905775,0.8058725850391725,0.10126382866363062,0.8058725850391725
Indian Institute of Technology (IIT) - Roorkee,22,3.0,103,30,0.4133333333,0.708737864,0.672408441797052,0.10106701234086568,0.672408441797052
Johns Hopkins University,130,0.0,3047,1185,0.0,0.611092878,0.21559293957552153,0.10112762992867086,0.21559293957552153
Manipal University,5,2.0,39,15,0.5,0.615384615,0.6028565902234787,0.10149730154998848,0.6028565902234787
McGill University,103,0.0,1634,215,0.0,0.8684210529999999,0.3070038595940843,0.10132607981716191,0.3070038595940843
National Institute of Technology Karnataka,2,0.0,13,8,0.0,0.384615385,0.13709713366574192,0.10213764841802087,0.13709713366574192
North Carolina State University,31,2.0,279,105,0.3333333333,0.623655914,0.5868149705396608,0.10114598145913745,0.5868149705396608
PES University,2,0.0,9,2,0.0,0.7777777779999999,0.2774846932546871,0.10222476300109917,0.2774846932546871
RWTH Aachen University,59,17.0,496,99,0.3149739051,0.8004032259999999,0.7319493024640582,0.10107941417433734,0.7319493024640582
Simon Fraser University,66,15.0,593,97,0.4620833333,0.8364249579999999,0.7894846306705156,0.10150282495782814,0.7894846306705156
Sogang University,19,10.0,163,34,0.3388518519,0.791411043,0.7293853303321441,0.10144090930932881,0.7293853303321441
State University of New York (SUNY) Binghamton,13,2.0,120,28,0.5,0.7666666670000001,0.7351992194087826,0.10260443730194935,0.7351992194087826
University of British Columbia,85,26.0,1642,147,0.3759775641,0.91047503,0.836318019806457,0.10143341536082018,0.836318019806457
University of Edinburgh,83,34.0,860,51,0.280756647,0.940697674,0.8389497247940046,0.10116404177184779,0.8389497247940046
University of Guelph,45,23.0,232,33,0.2982004831,0.8577586209999999,0.7755729736532055,0.10107452910319537,0.7755729736532055
University of Michigan,218,0.0,3916,1290,0.0,0.670582227,0.23781557233575548,0.10163548729386795,0.23781557233575548
University of Montreal,56,10.0,771,126,0.1831309524,0.836575875,0.7259609012900858,0.10122589114326241,0.7259609012900858
University of Ottawa,39,8.0,291,53,0.6775,0.817869416,0.8027426653771363,0.10131582796640037,0.8027426653771363
University of Pennsylvania,222,0.0,8241,3017,0.0,0.633903652,0.22455883880937233,0.1015269383321964,0.22455883880937233
University of Salford,24,7.0,416,53,0.3088253158,0.872596154,0.7902715471301182,0.10110924386846953,0.7902715471301182
University of Southern California,173,0.0,6126,1906,0.0,0.688867124,0.24272095353316156,0.10100362772934468,0.24272095353316156
University of Southern Queensland,2,1.0,11,1,0.75,0.909090909,0.8919193425155334,0.10128392742471237,0.8919193425155334
University of Tokyo,390,0.0,4303,1048,0.0,0.756448989,0.26703886538624244,0.10118745499420645,0.26703886538624244
University of Toronto,200,0.0,2002,301,0.0,0.84965035,0.29948555627447476,0.10104016727001763,0.29948555627447476
University of Waterloo,91,31.0,1272,151,0.5167769061,0.8812893079999999,0.836552854005889,0.10138100779918197,0.836552854005889
Yale University,84,19.0,1581,501,0.521301468,0.683111954,0.6651130115100432,0.1014627576446756,0.6651130115100432
Yonsei University,41,5.0,250,66,0.2433333333,0.736,0.6624591341723973,0.10108098505367014,0.6624591341723973
