Institute,Articles,Articles w/ IC,Total Citations,Parent Country Citations,ICR,NLIQ,Ranking,cost,rho,Internationality(1>rho>0),Internationality(0.1>rho>0.001),Internationality(0.9>rho>0.101),Internationality(0.99>rho>0.9),Internationality(rho>1)
National Institute of Technology Karnataka,2,0,13,8,0.01,0.384615385,0.0,0.06227887507019674,4.8750127478847105e-05,0.06202240141851917,0.06213287199847101,0.07345921864592003,0.1854924103533258,0.0
North Carolina State University,31,2,279,105,0.3333333333333333,0.623655914,224.0,0.4559647444955362,2.090025448264754e-05,0.45594487709435244,0.45596857672145086,0.45821098669593746,0.4762536081052464,0.0
PES University,2,0,9,2,0.01,0.7777777779999999,0.0,0.08823100278621226,0.0004264171801606764,0.08828086419138467,0.08840904471626553,0.11183967749642887,0.36802522462780196,0.0
RWTH Aachen University,59,17,496,99,0.314973905080857,0.8004032259999999,110.0,0.5021168859643403,0.0003711981381964158,0.5021219768158028,0.5021592371825555,0.5076496641934918,0.5522002818168048,0.0
Simon Fraser University,66,15,593,97,0.4620833333333334,0.8364249579999999,60.0,0.6216955833826326,0.00021929701552081404,0.6216956601471413,0.6217173138107301,0.6244706080254556,0.6465142598673307,0.0
Sogang University,19,10,163,34,0.33885185185185185,0.791411043,0.0,0.5178809216617503,0.00018186085163707233,0.5178608602193409,0.5179059321668766,0.5225783583316179,0.5604532939522707,0.0
State University of New York (SUNY) Binghamton,13,2,120,28,0.5,0.7666666670000001,0.0,0.6191431357318168,0.0002642570206534689,0.6191429241705236,0.6191533696733114,0.6205691064785839,0.6319183927639055,0.0
University of British Columbia,85,26,1642,147,0.3759775641025641,0.91047503,52.0,0.5850871407876421,0.00015226465733375605,0.585088349848041,0.5851424383674341,0.5909058386973611,0.6374845586693424,0.0
University of Edinburgh,83,34,860,51,0.28075664697662284,0.940697674,30.0,0.5139262794888593,0.00023450133228974934,0.5139355625813445,0.5140107349299375,0.5234922699080767,0.6012458370162443,0.0
University of Guelph,45,23,232,33,0.2982004830917874,0.8577586209999999,0.0,0.5057570300396452,0.001506075074020341,0.5058572594699382,0.5058249350467864,0.5129305919511044,0.5708722934611685,0.0
University of Michigan,218,35,3916,1290,0.3685238296502033,0.670582227,40.0,0.4971369384436505,0.0017159032928011353,0.4971554329700003,0.49714047328997735,0.4993847317674271,0.5173225645625305,0.0
University of Montreal,56,10,771,126,0.1831309523809524,0.836575875,109.0,0.39144317883232377,0.0004176025874884637,0.3914586208660776,0.39152480773945214,0.4030557059705348,0.4983820375629158,0.0
University of Ottawa,39,8,291,53,0.6775,0.817869416,201.0,0.744386090729312,0.0017015377318072566,0.7443889348159222,0.7443868094348888,0.7447178085690069,0.7473550761364379,0.0
University of Pennsylvania,222,47,8241,3017,0.3416812521491795,0.633903652,5.0,0.4654086920343747,0.001294595830997003,0.4654242900189649,0.4654182544633266,0.46764782344331424,0.4855665798395687,0.0
University of Salford,24,7,416,53,0.30882531584062195,0.872596154,0.0,0.5191797435078072,0.0005252488100108144,0.5191511949367732,0.5191873791321759,0.5262351266249351,0.5836640360354338,0.0
University of Southern California,173,34,6126,1906,0.4241754708056063,0.688867124,11.0,0.5405665832243624,0.0008470396117847834,0.5405692240065739,0.5405724016978671,0.5421638635797238,0.5549314502516307,0.0
University of Southern Queensland,2,1,11,1,0.75,0.9090909090000001,0.0,0.8257229793281123,0.0007445672277426318,0.8257256678205586,0.825726881706509,0.8261087377044476,0.8291634280040369,0.0
University of Tokyo,390,62,4303,1048,0.4717851815103751,0.756448989,2.0,0.5974181297633311,0.0002995117031479033,0.597400518741101,0.5974132816114728,0.5990931658632834,0.6124506890917747,0.0
University of Toronto,200,44,2002,301,0.4410200607740291,0.84965035,72.0,0.6121406702770793,0.0003237529404766515,0.6121485850241826,0.6121713955253515,0.6154723720278059,0.6420370391935087,0.0
University of Waterloo,91,31,1272,151,0.516776906102943,0.8812893079999999,0.0,0.674860492897214,1.7693308008492892e-05,0.6748559371699784,0.6748806694613301,0.677291140563336,0.6966265011595175,0.0
Yale University,84,19,1581,501,0.5213014679556034,0.683111954,25.0,0.5967473590594315,0.0004154383781689308,0.5967495012366308,0.5967530708337028,0.5973005019589912,0.6016626337680253,0.0
Yonsei University,41,5,250,66,0.2433333333333333,0.736,0.0,0.42319882584499435,0.0010283402157287291,0.4232608462894369,0.42326102659905107,0.42978701975946687,0.483135759282853,0.0
