Institute,Articles,Articles w/ IC,Total Citations,Parent Country Citations,ICR,NLIQ,Ranking,1>rho>0,Internationality(1>rho>0,0.1>rho>0.001,Internationality(0.1>rho>0.001,0.99>rho>0.9,Internationality(0.99>rho>0.9,0.9>rho>0.101,Internationality(0.9>rho>0.101,rho>1,Internationality(rho>1
Georgetown University,22,3,212,96,0.5377777778,0.5471698113,102,0.0002517462702655848,0.5424534733519709,0.0010008429335359725,0.5424534885783542,0.9000085742838848,0.5424717621019207,0.10110466965473841,0.5424555233111419,52465.48790574509,0.0
Uppsala University,102,38,5070,379,0.484691615,0.9252465483,102,0.00012620730747170406,0.6696754129572918,0.0011639584352218235,0.6697117274577812,0.9000596498895262,0.7014631038598811,0.10158604318806108,0.6732345330132361,70211.96356311212,0.0
Queen Mary University London,85,38,3018,462,0.46719743700000005,0.8469184891,110,0.0013330504820914246,0.6290666184734055,0.0010664250359296024,0.6290591998341121,0.9000592029021597,0.6542714221245169,0.10160520095468417,0.6318623914108632,26937.773280801197,0.0
University of Birmingham,145,53,4034,712,0.5684712516,0.8235002479000001,112,0.0002490604900136084,0.6842077318380547,0.0011418590195464429,0.6842182199263726,0.9000048223904227,0.6948101247787848,0.10108959627849068,0.6853932964192828,30879.012298007634,0.0
University of Bern,63,19,1922,290,0.4775185428,0.8491155047,113,0.00048610215839373083,0.6367768242075851,0.0010847292788704332,0.6367926108173928,0.900017993601835,0.6606752044142654,0.10188229406938976,0.6394559817933057,83302.50555376147,0.0
Case Western Reserve University,72,11,1268,566,0.4958996212,0.5536277603,119,0.0005720587164619317,0.5239697250218781,0.0010261796841973259,0.5239700856940216,0.9000467027923398,0.5246843002827185,0.10107970242397082,0.5240495558785051,73646.17483470564,0.0
University of Gottingen,64,25,1491,365,0.3608238379,0.7551978537999999,125,0.00040201108669646324,0.5220233022125279,0.001037944722828421,0.5220459396805083,0.9000504999113543,0.5544412382741349,0.10107100733010244,0.5256182476062347,78772.67533720832,0.0
Maastricht University,47,19,958,140,0.5157405860000001,0.8538622129000001,127,0.0010793434539970725,0.6636276088072764,0.0010004523121795728,0.663625945359636,0.9000896166158584,0.6826916318982557,0.10131333819688781,0.6657442168801623,76027.46315811662,0.0
Radboud University Nijmegen,104,37,1842,342,0.42329532659999997,0.8143322476,128,0.00041562160458608055,0.5871272164725827,0.0010102717503345238,0.5871459001471162,0.9000494168779382,0.6156653643272063,0.10106840180454946,0.5902975877162561,41301.98785454423,0.0
University of Western Australia,98,38,2636,460,0.40955964170000003,0.8254931715,131,3.835275127173077e-05,0.5814553121622978,0.001065069201578033,0.5814919728626091,0.9000377890343004,0.6139465361723163,0.1014468459549398,0.5850866949386925,98816.09256345943,0.0
Durham University,91,48,2282,548,0.5371087992,0.7598597720999999,133,0.00019766580315916382,0.6388503715733277,0.0010250155245553894,0.6388583238736756,0.9000560681181198,0.6475229744170202,0.10124974356250133,0.6398223441204015,26580.948234050404,0.0
