Institute,Articles,Articles w/ IC,Total Citations,Parent Country Citations,ICR,NLIQ,cost,rho,Internationality
Simon Fraser University,66,15.0,593,97,0.4620833333,0.8364249579999999,0.7980599719645243,0.9000202577581453,0.7980599719645243
Sogang University,19,10.0,163,34,0.3388518519,0.791411043,0.7446018520919041,0.9000358603859508,0.7446018520919041
State University of New York (SUNY) Binghamton,13,2.0,120,28,0.5,0.7666666670000001,0.7395119383111309,0.9000004803557861,0.7395119383111309
University of British Columbia,85,26.0,1642,147,0.3759775641,0.91047503,0.8551218108442671,0.9000089224632641,0.8551218108442671
University of Edinburgh,83,34.0,860,51,0.280756647,0.940697674,0.8716413141981428,0.9000133532500032,0.8716413141981428
University of Guelph,45,23.0,232,33,0.2982004831,0.8577586209999999,0.7994812695649829,0.9000138114916221,0.7994812695649829
University of Michigan,218,0.0,3916,1290,0.0,0.670582227,0.596501365694846,0.900018759758824,0.596501365694846
University of Montreal,56,10.0,771,126,0.1831309524,0.836575875,0.7676026325900887,0.9000055281676583,0.7676026325900887
University of Ottawa,39,8.0,291,53,0.6775,0.817869416,0.8037160967624378,0.900085500434833,0.8037160967624378
University of Pennsylvania,222,0.0,8241,3017,0.0,0.633903652,0.5638768720326969,0.9000475202081488,0.5638768720326969
University of Salford,24,7.0,416,53,0.3088253158,0.872596154,0.8139148257420803,0.9000694517863163,0.8139148257420803
University of Southern California,173,0.0,6126,1906,0.0,0.688867124,0.6127663222354176,0.900019222779239,0.6127663222354176
University of Southern Queensland,2,1.0,11,1,0.75,0.909090909,0.8930470990203156,0.9000662924595665,0.8930470990203156
University of Tokyo,390,0.0,4303,1048,0.0,0.756448989,0.672881163328889,0.9000067305574173,0.672881163328889
University of Toronto,200,0.0,2002,301,0.0,0.84965035,0.7557871974220629,0.9000167550616609,0.7557871974220629
University of Waterloo,91,31.0,1272,151,0.5167769061,0.8812893079999999,0.8440163281992119,0.9000164465334272,0.8440163281992119
Yale University,84,19.0,1581,501,0.521301468,0.683111954,0.6667400456771808,0.9000348877915939,0.6667400456771808
Yonsei University,41,5.0,250,66,0.2433333333,0.736,0.6846082661860949,0.9000215966398978,0.6846082661860949
