Institute,Articles,Articles w/ IC,Total Citations,Parent Country Citations,ICR,NLIQ,cost,rho,Internationality
AGH University of Science & Technology,29,3.0,54,33,0.3061728395,0.388888889,0.38053063199393033,0.9000082859403286,0.38053063199393033
Al Azhar University,5,1.0,74,17,0.6666666667,0.77027027,0.7598436419449639,0.9000242796789764,0.7598436419449639
Al-Imam Muhammad Ibn Saud Islamic University,2,0.0,7,2,0.0,0.7142857140000001,0.6353764540615725,0.9000143145596647,0.6353764540615725
Alexandria University,5,2.0,46,3,0.5833333333,0.934782609,0.8989324015878941,0.900055072598745,0.8989324015878941
Amity University,3,0.0,3,1,0.0,0.666666667,0.5930265006607441,0.9001242179662079,0.5930265006607441
Amrita Vishwa Vidyapeetham,4,0.0,10,1,0.0,0.9,0.8005736441301936,0.9000077045992704,0.8005736441301936
Ankara University,3,2.0,12,2,0.284375,0.833333333,0.7761272035164958,0.9000531195150097,0.7761272035164958
Aoyama Gakuin University,15,0.0,29,6,0.0,0.793103448,0.7054929369785011,0.9000794607040667,0.7054929369785011
Arizona State University,80,19.0,558,189,0.3870150286,0.661290323,0.633243125337674,0.9001359308025132,0.633243125337674
Auburn University,7,1.0,52,7,1.0,0.865384615,0.8787574030673972,0.9001688948555291,0.8787574030673972
Australian National University,56,20.0,1901,137,0.4929128597,0.927932667,0.8832835056027329,0.9000246878293834,0.8832835056027329
Babes Bolyai University from Cluj,7,2.0,28,5,0.3229166667,0.8214285709999999,0.7697166027416619,0.9000164130295067,0.7697166027416619
Benemerita Universidad Autonoma de Puebla,15,2.0,45,14,0.2708333333,0.688888889,0.6455234450307513,0.9000455127634102,0.6455234450307513
Birla Institute of Technology and Science Pilani (BITS Pilani),9,1.0,50,3,0.3333333333,0.94,0.8768574682578064,0.9000592519625689,0.8768574682578064
Colorado State University,25,4.0,134,29,0.4088541667,0.78358209,0.7450954854923351,0.9000138802952655,0.7450954854923351
Columbia University,72,13.0,1549,505,0.3941666667,0.673983215,0.6453678205244643,0.9000143757078793,0.6453678205244643
Cornell University,121,0.0,3530,1378,0.0,0.609631728,0.5422834784447806,0.9000082801587651,0.5422834784447806
Ecole Polytechnique Federale de Lausanne,268,0.0,5320,475,0.0,0.910714286,0.8101118441797964,0.9000794667622909,0.8101118441797964
Indian Institute of Science (IISC) - Bangalore,39,7.0,449,68,0.8571428570999999,0.848552339,0.8494110014153259,0.9001056731514002,0.8494110014153259
Indian Institute of Technology (IIT BHU) - Varanasi,9,1.0,75,35,0.6666666667,0.533333333,0.5465298169446301,0.9000727204806606,0.5465298169446301
Indian Institute of Technology (IIT) - Bombay,11,0.0,230,20,0.0,0.913043478,0.8121825228268177,0.9000679340701365,0.8121825228268177
Indian Institute of Technology (IIT) - Delhi,25,6.0,210,36,0.3030555556,0.828571429,0.7739295740229929,0.9000538884797781,0.7739295740229929
Indian Institute of Technology (IIT) - Kharagpur,32,8.0,262,49,0.4633333333,0.812977099,0.777186654996826,0.9001517209794602,0.777186654996826
Indian Institute of Technology (IIT) - Madras,37,7.0,329,53,0.5571428571,0.838905775,0.8102348413663667,0.9000514681488164,0.8102348413663667
Indian Institute of Technology (IIT) - Roorkee,22,3.0,103,30,0.4133333333,0.708737864,0.678525051560502,0.9000044321029804,0.678525051560502
Johns Hopkins University,130,0.0,3047,1185,0.0,0.611092878,0.5435845167697926,0.9000267645569248,0.5435845167697926
Manipal University,5,2.0,39,15,0.5,0.615384615,0.6037408138092624,0.9000067716497867,0.6037408138092624
McGill University,103,0.0,1634,215,0.0,0.8684210529999999,0.7724830795473756,0.9000051009959023,0.7724830795473756
National Institute of Technology Karnataka,2,0.0,13,8,0.0,0.384615385,0.34212851357871693,0.9000756693519287,0.34212851357871693
North Carolina State University,31,2.0,279,105,0.3333333333,0.623655914,0.5938648380110559,0.9000171107953208,0.5938648380110559
PES University,2,0.0,9,2,0.0,0.7777777779999999,0.6918570485890481,0.900044174682816,0.6918570485890481
RWTH Aachen University,59,17.0,496,99,0.3149739051,0.8004032259999999,0.7500499012228038,0.9000072998838701,0.7500499012228038
